"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2014","10,391.30","10,218.00","10,391.30","10,167.20","417.88M","3.40%"
"Dec 19, 2014","10,363.60","10,483.40","10,500.10","10,186.70","497.37M","-0.27%"
"Dec 22, 2014","10,371.00","10,387.50","10,458.00","10,294.90","186.41M","0.07%"
"Dec 23, 2014","10,477.70","10,380.20","10,477.70","10,314.40","161.43M","1.03%"
"Dec 24, 2014","10,481.80","10,456.10","10,495.90","10,437.80","45.21M","0.04%"
"Dec 29, 2014","10,394.20","10,427.80","10,446.30","10,216.20","220.89M","-0.84%"
"Dec 30, 2014","10,279.20","10,365.40","10,365.40","10,269.40","163.93M","-1.11%"
"Dec 31, 2014","10,279.50","10,260.20","10,305.80","10,253.50","83.61M","0.00%"
"Jan 02, 2015","10,350.80","10,386.70","10,440.30","10,232.30","220.24M","0.69%"
"Jan 05, 2015","9,993.30","10,267.20","10,390.80","9,977.80","299.61M","-3.45%"
"Jan 06, 2015","9,871.10","10,040.70","10,060.80","9,871.10","282.86M","-1.22%"
"Jan 07, 2015","9,891.40","9,937.30","10,051.20","9,836.40","290.12M","0.21%"
"Jan 08, 2015","10,115.00","10,053.20","10,143.00","9,970.30","320.45M","2.26%"
"Jan 09, 2015","9,719.00","10,080.00","10,080.00","9,610.10","789.49M","-3.91%"
"Jan 12, 2015","9,797.50","9,805.50","9,882.10","9,682.10","454.28M","0.81%"
"Jan 13, 2015","9,966.00","9,762.40","9,996.10","9,757.30","407.22M","1.72%"
"Jan 14, 2015","9,846.00","9,801.70","10,013.80","9,778.90","474.51M","-1.20%"
"Jan 15, 2015","9,982.50","9,953.10","10,008.90","9,646.40","408.08M","1.39%"
"Jan 16, 2015","10,038.90","9,948.60","10,060.20","9,882.10","367.66M","0.56%"
"Jan 19, 2015","10,157.50","10,091.30","10,193.80","10,036.70","253.51M","1.18%"
"Jan 20, 2015","10,283.90","10,194.90","10,332.30","10,186.70","446.60M","1.24%"
"Jan 21, 2015","10,335.30","10,325.00","10,340.30","10,147.00","367.57M","0.50%"
"Jan 22, 2015","10,510.60","10,382.20","10,560.90","10,339.60","508.50M","1.70%"
"Jan 23, 2015","10,581.50","10,604.90","10,693.00","10,532.40","493.57M","0.67%"
"Jan 26, 2015","10,696.10","10,502.60","10,716.90","10,451.00","309.10M","1.08%"
"Jan 27, 2015","10,598.90","10,669.50","10,707.10","10,528.10","322.88M","-0.91%"
"Jan 28, 2015","10,456.90","10,676.60","10,687.00","10,395.60","366.62M","-1.34%"
"Jan 29, 2015","10,507.60","10,391.20","10,513.10","10,320.80","336.72M","0.48%"
"Jan 30, 2015","10,403.30","10,562.60","10,581.60","10,336.10","418.61M","-0.99%"
"Feb 02, 2015","10,328.10","10,396.60","10,401.00","10,136.40","443.72M","-0.72%"
"Feb 03, 2015","10,598.20","10,426.80","10,634.20","10,414.60","446.42M","2.62%"
"Feb 04, 2015","10,577.80","10,620.90","10,688.00","10,497.40","386.83M","-0.19%"
"Feb 05, 2015","10,535.50","10,451.70","10,535.50","10,388.90","301.15M","-0.40%"
"Feb 06, 2015","10,573.10","10,547.10","10,606.80","10,497.50","278.01M","0.36%"
"Feb 09, 2015","10,364.90","10,467.80","10,473.30","10,289.70","290.05M","-1.97%"
"Feb 10, 2015","10,500.10","10,389.80","10,561.40","10,338.60","275.83M","1.30%"
"Feb 11, 2015","10,364.80","10,496.10","10,516.50","10,342.80","237.22M","-1.29%"
"Feb 12, 2015","10,562.20","10,349.60","10,607.10","10,328.50","328.00M","1.90%"
"Feb 13, 2015","10,739.50","10,618.50","10,794.90","10,606.70","427.94M","1.68%"
"Feb 16, 2015","10,689.50","10,717.80","10,793.10","10,679.90","220.58M","-0.47%"
"Feb 17, 2015","10,698.00","10,591.60","10,730.10","10,526.60","272.47M","0.08%"
"Feb 18, 2015","10,805.30","10,764.60","10,852.60","10,764.10","298.37M","1.00%"
"Feb 19, 2015","10,910.40","10,781.00","10,918.40","10,726.30","350.26M","0.97%"
"Feb 20, 2015","10,879.30","10,889.80","10,916.80","10,759.00","336.30M","-0.29%"
"Feb 23, 2015","10,990.10","11,001.30","11,015.40","10,935.10","272.02M","1.02%"
"Feb 24, 2015","11,064.50","11,027.70","11,082.70","10,951.10","297.63M","0.68%"
"Feb 25, 2015","11,049.50","11,027.90","11,072.50","11,011.70","255.50M","-0.14%"
"Feb 26, 2015","11,139.50","11,023.30","11,145.90","11,014.40","271.21M","0.81%"
"Feb 27, 2015","11,178.30","11,142.90","11,184.50","11,070.80","412.54M","0.35%"
"Mar 02, 2015","11,178.50","11,190.50","11,239.80","11,123.30","312.32M","0.00%"
"Mar 03, 2015","11,014.70","11,197.60","11,212.80","11,001.70","246.88M","-1.47%"
"Mar 04, 2015","11,051.30","11,048.10","11,079.30","10,921.40","253.27M","0.33%"
