"","price","amount"
"475","10357.08000000","0.00107200"
"476","10357.11000000","0.00702400"
"477","10357.14000000","0.02701500"
"478","10357.16000000","0.07853900"
"479","10357.28000000","0.05651200"
"480","10357.58000000","0.00107200"
"481","10357.65000000","0.00155700"
"482","10357.85000000","0.00230200"
"483","10357.90000000","0.00554900"
"484","10358.00000000","15.58449100"
"485","10358.02000000","0.01208800"
"486","10358.38000000","0.00242400"
"487","10358.39000000","0.00155500"
"488","10358.53000000","0.06220500"
"489","10358.58000000","0.00170100"
"490","10358.94000000","0.00374100"
"491","10358.97000000","0.00100000"
"492","10359.00000000","1.50137900"
"493","10359.04000000","0.11047000"
"494","10359.49000000","0.25000000"
"495","10359.60000000","0.00110000"
"496","10359.80000000","0.00382600"
"497","10359.83000000","0.00106200"
"498","10359.87000000","0.00880000"
"499","10360.00000000","0.83779700"
"500","10360.05000000","0.00106200"
"501","10360.15000000","0.00106200"
"502","10360.23000000","0.03555800"
"503","10360.24000000","0.00107500"
"504","10360.26000000","0.00159100"
"505","10360.29000000","0.00736700"
"506","10360.38000000","0.01539700"
"507","10360.43000000","0.00114700"
"508","10360.53000000","0.00106700"
"509","10360.73000000","0.06339000"
"510","10360.91000000","0.00684400"
"511","10360.95000000","0.00102100"
"512","10360.98000000","0.01354200"
"513","10361.00000000","0.00096600"
"514","10361.21000000","0.00098100"
"515","10361.23000000","0.00219000"
"516","10361.24000000","0.00106800"
"517","10361.33000000","0.00291500"
"518","10361.43000000","0.00484700"
"519","10361.49000000","0.01805500"
"520","10361.68000000","0.04545300"
"521","10361.88000000","0.04200100"
"522","10361.93000000","0.00686700"
"523","10361.94000000","0.00128000"
"524","10361.96000000","0.00490500"
"525","10362.00000000","1.39587100"
"526","10362.28000000","0.00100000"
"527","10362.34000000","0.00155700"
"528","10362.48000000","0.00388400"
"529","10362.50000000","0.02100000"
"530","10362.51000000","0.00124600"
"531","10362.56000000","0.00116500"
"532","10362.58000000","0.01116800"
"533","10362.69000000","0.00118800"
"534","10362.88000000","0.00097100"
"535","10362.91000000","0.00098100"
"536","10362.97000000","0.01425900"
"537","10363.00000000","0.05113200"
"538","10363.37000000","0.00150000"
"539","10363.42000000","0.00196200"
"540","10363.47000000","0.00878100"
"541","10363.50000000","0.00230100"
"542","10363.54000000","0.00130000"
"543","10363.63000000","0.00561700"
"544","10363.74000000","0.00193300"
"545","10363.75000000","0.02000000"
"546","10363.81000000","0.03943400"
"547","10363.88000000","0.00233000"
"548","10363.96000000","0.00116500"
"549","10364.00000000","1.11472500"
"550","10364.05000000","0.00101300"
"551","10364.16000000","0.00118600"
"552","10364.28000000","0.60000000"
"553","10364.31000000","0.02275100"
"554","10364.44000000","0.00193600"
"555","10364.70000000","0.00105900"
"556","10364.73000000","0.00580000"
"557","10364.76000000","0.00430000"
"558","10364.78000000","0.04226300"
"559","10364.89000000","0.00100000"
"560","10364.93000000","0.00341300"
"561","10365.00000000","8.07552000"
"562","10365.01000000","0.00114100"
"563","10365.12000000","0.00124500"
"564","10365.22000000","0.00307600"
"565","10365.26000000","0.00200600"
"566","10365.46000000","0.00106200"
"567","10365.58000000","0.00145600"
"568","10365.62000000","0.00137600"
"569","10365.68000000","0.23823400"
"570","10365.69000000","0.00108700"
"571","10365.81000000","0.00865000"
"572","10365.95000000","0.00150000"
"573","10366.00000000","0.00096600"
"574","10366.01000000","0.00374000"
"575","10366.02000000","0.00743500"
"576","10366.12000000","0.00409700"
"577","10366.21000000","0.00102100"
"578","10366.39000000","0.00113100"
"579","10366.66000000","0.00415700"
"580","10366.69000000","0.00098000"
"581","10366.74000000","0.00193000"
"582","10366.76000000","0.00982900"
"583","10367.00000000","0.02025800"
"584","10367.34000000","0.00656800"
"585","10367.60000000","0.00128000"
"586","10367.70000000","0.04854400"
"587","10367.92000000","0.00098800"
"588","10368.00000000","1.37213700"
"589","10368.27000000","0.00332300"
"590","10368.40000000","0.00166400"
"591","10368.42000000","0.00377800"
"592","10368.57000000","0.03524200"
"593","10368.64000000","0.00099800"
